standard_id,initiative_id,s.initiative_name,framework_id,standard_grade_level,standard_statement,standard_code,s.full_code,standard_domain,standard_subdomain,standard_standard
1332,1,CCSS,1,,Analyze how two or more texts address similar themes or topics in order to build knowledge or to compare the approaches the authors take.,CCRA.R.9,CCSS.CCRA.R.9,CCRA.R,,9
1333,1,CCSS,1,,"Prepare for and participate effectively in a range of conversations and collaborations with diverse partners, building on others' ideas and expressing their own clearly and persuasively.",CCRA.SL.1,CCSS.CCRA.SL.1,CCRA.SL,,1
1334,1,CCSS,1,,"Integrate and evaluate information presented in diverse media and formats, including visually, quantitatively, and orally.",CCRA.SL.2,CCSS.CCRA.SL.2,CCRA.SL,,2
1335,1,CCSS,1,,"Evaluate a speaker's point of view, reasoning, and use of evidence and rhetoric.",CCRA.SL.3,CCSS.CCRA.SL.3,CCRA.SL,,3
1336,1,CCSS,1,,"Present information, findings, and supporting evidence such that listeners can follow the line of reasoning and the organization, development, and style are appropriate to task, purpose, and audience.",CCRA.SL.4,CCSS.CCRA.SL.4,CCRA.SL,,4
1337,1,CCSS,1,,Make strategic use of digital media and visual displays of data to express information and enhance understanding of presentations.,CCRA.SL.5,CCSS.CCRA.SL.5,CCRA.SL,,5
1338,1,CCSS,1,,"Adapt speech to a variety of contexts and communicative tasks, demonstrating command of formal English when indicated or appropriate.",CCRA.SL.6,CCSS.CCRA.SL.6,CCRA.SL,,6
1339,1,CCSS,1,,Write arguments to support claims in an analysis of substantive topics or texts using valid reasoning and relevant and sufficient evidence.,CCRA.W.1,CCSS.CCRA.W.1,CCRA.W,,1
1340,1,CCSS,1,,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of tasks, purposes, and audiences.",CCRA.W.10,CCSS.CCRA.W.10,CCRA.W,,10
1341,1,CCSS,1,,"Write informative/explanatory texts to examine and convey complex ideas and information clearly and accurately through the effective selection, organization, and analysis of content.",CCRA.W.2,CCSS.CCRA.W.2,CCRA.W,,2
1342,1,CCSS,1,,"Write narratives to develop real or imagined experiences or events using effective technique, well-chosen details and well-structured event sequences.",CCRA.W.3,CCSS.CCRA.W.3,CCRA.W,,3
1343,1,CCSS,1,,"Produce clear and coherent writing in which the development, organization, and style are appropriate to task, purpose, and audience.",CCRA.W.4,CCSS.CCRA.W.4,CCRA.W,,4
1344,1,CCSS,1,,"Develop and strengthen writing as needed by planning, revising, editing, rewriting, or trying a new approach.",CCRA.W.5,CCSS.CCRA.W.5,CCRA.W,,5
1345,1,CCSS,1,,"Use technology, including the Internet, to produce and publish writing and to interact and collaborate with others.",CCRA.W.6,CCSS.CCRA.W.6,CCRA.W,,6
1346,1,CCSS,1,,"Conduct short as well as more sustained research projects based on focused questions, demonstrating understanding of the subject under investigation.",CCRA.W.7,CCSS.CCRA.W.7,CCRA.W,,7
1347,1,CCSS,1,,"Gather relevant information from multiple print and digital sources, assess the credibility and accuracy of each source, and integrate the information while avoiding plagiarism.",CCRA.W.8,CCSS.CCRA.W.8,CCRA.W,,8
1348,1,CCSS,1,,"Draw evidence from literary or informational texts to support analysis, reflection, and research.",CCRA.W.9,CCSS.CCRA.W.9,CCRA.W,,9
1396,1,CCSS,2,3,"Understand that shapes in different categories (e.g., rhombuses, rectangles, and others) may share attributes (e.g., having four sides), and that the shared attributes can define a larger category (e.g., quadrilaterals). Recognize rhombuses, rectangles, and squares as examples of quadrilaterals, and draw examples of quadrilaterals that do not belong to any of these subcategories.",CONTENT.3.G.A.1,CCSS.CONTENT.3.G.A.1,CONTENT,G,A.1
1397,1,CCSS,2,3,"Partition shapes into parts with equal areas. Express the area of each part as a unit fraction of the whole. For example, partition a shape into 4 parts with equal area, and describe the area of each part as 1/4 of the area of the shape.",CONTENT.3.G.A.2,CCSS.CONTENT.3.G.A.2,CONTENT,G,A.2
1382,1,CCSS,2,3,"Tell and write time to the nearest minute and measure time intervals in minutes. Solve word problems involving addition and subtraction of time intervals in minutes, e.g., by representing the problem on a number line diagram.",CONTENT.3.MD.A.1,CCSS.CONTENT.3.MD.A.1,CONTENT,MD,A.1
1383,1,CCSS,2,3,"Measure and estimate liquid volumes and masses of objects using standard units of grams (g), kilograms (kg), and liters (l).1 Add, subtract, multiply, or divide to solve one-step word problems involving masses or volumes that are given in the same units, e.g., by using drawings (such as a beaker with a measurement scale) to represent the problem.",CONTENT.3.MD.A.2,CCSS.CONTENT.3.MD.A.2,CONTENT,MD,A.2
1384,1,CCSS,2,3,"Draw a scaled picture graph and a scaled bar graph to represent a data set with several categories. Solve one- and two-step ""how many more"" and ""how many less"" problems using information presented in scaled bar graphs. For example, draw a bar graph in which each square in the bar graph might represent 5 pets.",CONTENT.3.MD.B.3,CCSS.CONTENT.3.MD.B.3,CONTENT,MD,B.3
1385,1,CCSS,2,3,"Generate measurement data by measuring lengths using rulers marked with halves and fourths of an inch. Show the data by making a line plot, where the horizontal scale is marked off in appropriate units— whole numbers, halves, or quarters.",CONTENT.3.MD.B.4,CCSS.CONTENT.3.MD.B.4,CONTENT,MD,B.4
1386,1,CCSS,2,3,Recognize area as an attribute of plane figures and understand concepts of area measurement.,CONTENT.3.MD.C.5,CCSS.CONTENT.3.MD.C.5,CONTENT,MD,C.5
1387,1,CCSS,2,3,"A square with side length 1 unit, called ""a unit square,"" is said to have ""one square unit"" of area, and can be used to measure area.",CONTENT.3.MD.C.5.A,CCSS.CONTENT.3.MD.C.5.A,CONTENT,MD,C.5.A
1388,1,CCSS,2,3,A plane figure which can be covered without gaps or overlaps by n unit squares is said to have an area of n square units.,CONTENT.3.MD.C.5.B,CCSS.CONTENT.3.MD.C.5.B,CONTENT,MD,C.5.B
1389,1,CCSS,2,3,"Measure areas by counting unit squares (square cm, square m, square in, square ft, and improvised units).",CONTENT.3.MD.C.6,CCSS.CONTENT.3.MD.C.6,CONTENT,MD,C.6
1390,1,CCSS,2,3,Relate area to the operations of multiplication and addition.,CONTENT.3.MD.C.7,CCSS.CONTENT.3.MD.C.7,CONTENT,MD,C.7
1391,1,CCSS,2,3,"Find the area of a rectangle with whole-number side lengths by tiling it, and show that the area is the same as would be found by multiplying the side lengths.",CONTENT.3.MD.C.7.A,CCSS.CONTENT.3.MD.C.7.A,CONTENT,MD,C.7.A
1392,1,CCSS,2,3,"Multiply side lengths to find areas of rectangles with whole-number side lengths in the context of solving real world and mathematical problems, and represent whole-number products as rectangular areas in mathematical reasoning.",CONTENT.3.MD.C.7.B,CCSS.CONTENT.3.MD.C.7.B,CONTENT,MD,C.7.B
1393,1,CCSS,2,3,Use tiling to show in a concrete case that the area of a rectangle with whole-number side lengths a and b + c is the sum of a × b and a × c. Use area models to represent the distributive property in mathematical reasoning.,CONTENT.3.MD.C.7.C,CCSS.CONTENT.3.MD.C.7.C,CONTENT,MD,C.7.C
1394,1,CCSS,2,3,"Recognize area as additive. Find areas of rectilinear figures by decomposing them into non-overlapping rectangles and adding the areas of the non-overlapping parts, applying this technique to solve real world problems.",CONTENT.3.MD.C.7.D,CCSS.CONTENT.3.MD.C.7.D,CONTENT,MD,C.7.D
1395,1,CCSS,2,3,"Solve real world and mathematical problems involving perimeters of polygons, including finding the perimeter given the side lengths, finding an unknown side length, and exhibiting rectangles with the same perimeter and different areas or with the same area and different perimeters.",CONTENT.3.MD.D.8,CCSS.CONTENT.3.MD.D.8,CONTENT,MD,D.8
1370,1,CCSS,2,3,Use place value understanding to round whole numbers to the nearest 10 or 100.,CONTENT.3.NBT.A.1,CCSS.CONTENT.3.NBT.A.1,CONTENT,NBT,A.1
1371,1,CCSS,2,3,"Fluently add and subtract within 1000 using strategies and algorithms based on place value, properties of operations, and/or the relationship between addition and subtraction.",CONTENT.3.NBT.A.2,CCSS.CONTENT.3.NBT.A.2,CONTENT,NBT,A.2
1372,1,CCSS,2,3,"Multiply one-digit whole numbers by multiples of 10 in the range 10-90 (e.g., 9 × 80, 5 × 60) using strategies based on place value and properties of operations.",CONTENT.3.NBT.A.3,CCSS.CONTENT.3.NBT.A.3,CONTENT,NBT,A.3
1373,1,CCSS,2,3,Understand a fraction 1/b as the quantity formed by 1 part when a whole is partitioned into b equal parts; understand a fraction a/b as the quantity formed by a parts of size 1/b.,CONTENT.3.NF.A.1,CCSS.CONTENT.3.NF.A.1,CONTENT,NF,A.1
1374,1,CCSS,2,3,Understand a fraction as a number on the number line; represent fractions on a number line diagram.,CONTENT.3.NF.A.2,CCSS.CONTENT.3.NF.A.2,CONTENT,NF,A.2
1375,1,CCSS,2,3,Represent a fraction 1/b on a number line diagram by defining the interval from 0 to 1 as the whole and partitioning it into b equal parts. Recognize that each part has size 1/b and that the endpoint of the part based at 0 locates the number 1/b on the number line.,CONTENT.3.NF.A.2.A,CCSS.CONTENT.3.NF.A.2.A,CONTENT,NF,A.2.A
1376,1,CCSS,2,3,Represent a fraction a/b on a number line diagram by marking off a lengths 1/b from 0. Recognize that the resulting interval has size a/b and that its endpoint locates the number a/b on the number line.,CONTENT.3.NF.A.2.B,CCSS.CONTENT.3.NF.A.2.B,CONTENT,NF,A.2.B
1377,1,CCSS,2,3,"Explain equivalence of fractions in special cases, and compare fractions by reasoning about their size.",CONTENT.3.NF.A.3,CCSS.CONTENT.3.NF.A.3,CONTENT,NF,A.3
1378,1,CCSS,2,3,"Understand two fractions as equivalent (equal) if they are the same size, or the same point on a number line.",CONTENT.3.NF.A.3.A,CCSS.CONTENT.3.NF.A.3.A,CONTENT,NF,A.3.A
1379,1,CCSS,2,3,"Recognize and generate simple equivalent fractions, e.g., 1/2 = 2/4, 4/6 = 2/3. Explain why the fractions are equivalent, e.g., by using a visual fraction model.",CONTENT.3.NF.A.3.B,CCSS.CONTENT.3.NF.A.3.B,CONTENT,NF,A.3.B
1380,1,CCSS,2,3,"Express whole numbers as fractions, and recognize fractions that are equivalent to whole numbers. Examples: Express 3 in the form 3 = 3/1; recognize that 6/1 = 6; locate 4/4 and 1 at the same point of a number line diagram.",CONTENT.3.NF.A.3.C,CCSS.CONTENT.3.NF.A.3.C,CONTENT,NF,A.3.C
1381,1,CCSS,2,3,"Compare two fractions with the same numerator or the same denominator by reasoning about their size. Recognize that comparisons are valid only when the two fractions refer to the same whole. Record the results of comparisons with the symbols >, =, or <, and justify the conclusions, e.g., by using a visual fraction model.",CONTENT.3.NF.A.3.D,CCSS.CONTENT.3.NF.A.3.D,CONTENT,NF,A.3.D
1361,1,CCSS,2,3,"Interpret products of whole numbers, e.g., interpret 5 × 7 as the total number of objects in 5 groups of 7 objects each. For example, describe a context in which a total number of objects can be expressed as 5 × 7.",CONTENT.3.OA.A.1,CCSS.CONTENT.3.OA.A.1,CONTENT,OA,A.1
1362,1,CCSS,2,3,"Interpret whole-number quotients of whole numbers, e.g., interpret 56 ÷ 8 as the number of objects in each share when 56 objects are partitioned equally into 8 shares, or as a number of shares when 56 objects are partitioned into equal shares of 8 objects each. For example, describe a context in which a number of shares or a number of groups can be expressed as 56 ÷ 8.",CONTENT.3.OA.A.2,CCSS.CONTENT.3.OA.A.2,CONTENT,OA,A.2
1363,1,CCSS,2,3,"Use multiplication and division within 100 to solve word problems in situations involving equal groups, arrays, and measurement quantities, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem.",CONTENT.3.OA.A.3,CCSS.CONTENT.3.OA.A.3,CONTENT,OA,A.3
1364,1,CCSS,2,3,"Determine the unknown whole number in a multiplication or division equation relating three whole numbers. For example, determine the unknown number that makes the equation true in each of the equations 8 × ? = 48, 5 = _ ÷ 3, 6 × 6 = ?",CONTENT.3.OA.A.4,CCSS.CONTENT.3.OA.A.4,CONTENT,OA,A.4
1365,1,CCSS,2,3,"Apply properties of operations as strategies to multiply and divide.2 Examples: If 6 × 4 = 24 is known, then 4 × 6 = 24 is also known. (Commutative property of multiplication.) 3 × 5 × 2 can be found by 3 × 5 = 15, then 15 × 2 = 30, or by 5 × 2 = 10, then 3 × 10 = 30. (Associative property of multiplication.) Knowing that 8 × 5 = 40 and 8 × 2 = 16, one can find 8 × 7 as 8 × (5 + 2) = (8 × 5) + (8 × 2) = 40 + 16 = 56. (Distributive property.)",CONTENT.3.OA.B.5,CCSS.CONTENT.3.OA.B.5,CONTENT,OA,B.5
1366,1,CCSS,2,3,"Understand division as an unknown-factor problem. For example, find 32 ÷ 8 by finding the number that makes 32 when multiplied by 8.",CONTENT.3.OA.B.6,CCSS.CONTENT.3.OA.B.6,CONTENT,OA,B.6
1367,1,CCSS,2,3,"Fluently multiply and divide within 100, using strategies such as the relationship between multiplication and division (e.g., knowing that 8 × 5 = 40, one knows 40 ÷ 5 = 8) or properties of operations. By the end of Grade 3, know from memory all products of two one-digit numbers.",CONTENT.3.OA.C.7,CCSS.CONTENT.3.OA.C.7,CONTENT,OA,C.7
1368,1,CCSS,2,3,Solve two-step word problems using the four operations. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.,CONTENT.3.OA.D.8,CCSS.CONTENT.3.OA.D.8,CONTENT,OA,D.8
1369,1,CCSS,2,3,"Identify arithmetic patterns (including patterns in the addition table or multiplication table), and explain them using properties of operations. For example, observe that 4 times a number is always even, and explain why 4 times a number can be decomposed into two equal addends.",CONTENT.3.OA.D.9,CCSS.CONTENT.3.OA.D.9,CONTENT,OA,D.9
1432,1,CCSS,2,4,"Draw points, lines, line segments, rays, angles (right, acute, obtuse), and perpendicular and parallel lines. Identify these in two-dimensional figures.",CONTENT.4.G.A.1,CCSS.CONTENT.4.G.A.1,CONTENT,G,A.1
1433,1,CCSS,2,4,"Classify two-dimensional figures based on the presence or absence of parallel or perpendicular lines, or the presence or absence of angles of a specified size. Recognize right triangles as a category, and identify right triangles.",CONTENT.4.G.A.2,CCSS.CONTENT.4.G.A.2,CONTENT,G,A.2
1434,1,CCSS,2,4,Recognize a line of symmetry for a two-dimensional figure as a line across the figure such that the figure can be folded along the line into matching parts. Identify line-symmetric figures and draw lines of symmetry.,CONTENT.4.G.A.3,CCSS.CONTENT.4.G.A.3,CONTENT,G,A.3
1423,1,CCSS,2,4,"Know relative sizes of measurement units within one system of units including km, m, cm; kg, g; lb, oz.; l, ml; hr, min, sec. Within a single system of measurement, express measurements in a larger unit in terms of a smaller unit. Record measurement equivalents in a two-column table. For example, know that 1 ft is 12 times as long as 1 in. Express the length of a 4 ft snake as 48 in. Generate a conversion table for feet and inches listing the number pairs (1, 12), (2, 24), (3, 36), ...",CONTENT.4.MD.A.1,CCSS.CONTENT.4.MD.A.1,CONTENT,MD,A.1
1424,1,CCSS,2,4,"Use the four operations to solve word problems involving distances, intervals of time, liquid volumes, masses of objects, and money, including problems involving simple fractions or decimals, and problems that require expressing measurements given in a larger unit in terms of a smaller unit. Represent measurement quantities using diagrams such as number line diagrams that feature a measurement scale.",CONTENT.4.MD.A.2,CCSS.CONTENT.4.MD.A.2,CONTENT,MD,A.2
1425,1,CCSS,2,4,"Apply the area and perimeter formulas for rectangles in real world and mathematical problems. For example, find the width of a rectangular room given the area of the flooring and the length, by viewing the area formula as a multiplication equation with an unknown factor.",CONTENT.4.MD.A.3,CCSS.CONTENT.4.MD.A.3,CONTENT,MD,A.3
1426,1,CCSS,2,4,"Make a line plot to display a data set of measurements in fractions of a unit (1/2, 1/4, 1/8). Solve problems involving addition and subtraction of fractions by using information presented in line plots. For example, from a line plot find and interpret the difference in length between the longest and shortest specimens in an insect collection.",CONTENT.4.MD.B.4,CCSS.CONTENT.4.MD.B.4,CONTENT,MD,B.4
1427,1,CCSS,2,4,"Recognize angles as geometric shapes that are formed wherever two rays share a common endpoint, and understand concepts of angle measurement:",CONTENT.4.MD.C.5,CCSS.CONTENT.4.MD.C.5,CONTENT,MD,C.5
1428,1,CCSS,2,4,"An angle is measured with reference to a circle with its center at the common endpoint of the rays, by considering the fraction of the circular arc between the points where the two rays intersect the circle. An angle that turns through 1/360 of a circle is called a ""one-degree angle,"" and can be used to measure angles.",CONTENT.4.MD.C.5.A,CCSS.CONTENT.4.MD.C.5.A,CONTENT,MD,C.5.A
1429,1,CCSS,2,4,An angle that turns through n one-degree angles is said to have an angle measure of n degrees.,CONTENT.4.MD.C.5.B,CCSS.CONTENT.4.MD.C.5.B,CONTENT,MD,C.5.B
1430,1,CCSS,2,4,Measure angles in whole-number degrees using a protractor. Sketch angles of specified measure.,CONTENT.4.MD.C.6,CCSS.CONTENT.4.MD.C.6,CONTENT,MD,C.6
1431,1,CCSS,2,4,"Recognize angle measure as additive. When an angle is decomposed into non-overlapping parts, the angle measure of the whole is the sum of the angle measures of the parts. Solve addition and subtraction problems to find unknown angles on a diagram in real world and mathematical problems, e.g., by using an equation with a symbol for the unknown angle measure.",CONTENT.4.MD.C.7,CCSS.CONTENT.4.MD.C.7,CONTENT,MD,C.7
1403,1,CCSS,2,4,"Recognize that in a multi-digit whole number, a digit in one place represents ten times what it represents in the place to its right. For example, recognize that 700 ÷ 70 = 10 by applying concepts of place value and division.",CONTENT.4.NBT.A.1,CCSS.CONTENT.4.NBT.A.1,CONTENT,NBT,A.1
1404,1,CCSS,2,4,"Read and write multi-digit whole numbers using base-ten numerals, number names, and expanded form. Compare two multi-digit numbers based on meanings of the digits in each place, using >, =, and < symbols to record the results of comparisons.",CONTENT.4.NBT.A.2,CCSS.CONTENT.4.NBT.A.2,CONTENT,NBT,A.2
1405,1,CCSS,2,4,Use place value understanding to round multi-digit whole numbers to any place.,CONTENT.4.NBT.A.3,CCSS.CONTENT.4.NBT.A.3,CONTENT,NBT,A.3
1406,1,CCSS,2,4,Fluently add and subtract multi-digit whole numbers using the standard algorithm.,CONTENT.4.NBT.B.4,CCSS.CONTENT.4.NBT.B.4,CONTENT,NBT,B.4
1407,1,CCSS,2,4,"Multiply a whole number of up to four digits by a one-digit whole number, and multiply two two-digit numbers, using strategies based on place value and the properties of operations. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models.",CONTENT.4.NBT.B.5,CCSS.CONTENT.4.NBT.B.5,CONTENT,NBT,B.5
1408,1,CCSS,2,4,"Find whole-number quotients and remainders with up to four-digit dividends and one-digit divisors, using strategies based on place value, the properties of operations, and/or the relationship between multiplication and division. Illustrate and explain the calculation by using equations, rectangular arrays, and/or area models.",CONTENT.4.NBT.B.6,CCSS.CONTENT.4.NBT.B.6,CONTENT,NBT,B.6
1409,1,CCSS,2,4,"Explain why a fraction a/b is equivalent to a fraction (n × a)/(n × b) by using visual fraction models, with attention to how the number and size of the parts differ even though the two fractions themselves are the same size. Use this principle to recognize and generate equivalent fractions.",CONTENT.4.NF.A.1,CCSS.CONTENT.4.NF.A.1,CONTENT,NF,A.1
1410,1,CCSS,2,4,"Compare two fractions with different numerators and different denominators, e.g., by creating common denominators or numerators, or by comparing to a benchmark fraction such as 1/2. Recognize that comparisons are valid only when the two fractions refer to the same whole. Record the results of comparisons with symbols >, =, or <, and justify the conclusions, e.g., by using a visual fraction model.",CONTENT.4.NF.A.2,CCSS.CONTENT.4.NF.A.2,CONTENT,NF,A.2
1411,1,CCSS,2,4,Understand a fraction a/b with a > 1 as a sum of fractions 1/b.,CONTENT.4.NF.B.3,CCSS.CONTENT.4.NF.B.3,CONTENT,NF,B.3
1412,1,CCSS,2,4,Understand addition and subtraction of fractions as joining and separating parts referring to the same whole.,CONTENT.4.NF.B.3.A,CCSS.CONTENT.4.NF.B.3.A,CONTENT,NF,B.3.A
1413,1,CCSS,2,4,"Decompose a fraction into a sum of fractions with the same denominator in more than one way, recording each decomposition by an equation. Justify decompositions, e.g., by using a visual fraction model. Examples: 3/8 = 1/8 + 1/8 + 1/8 ; 3/8 = 1/8 + 2/8 ; 2 1/8 = 1 + 1 + 1/8 = 8/8 + 8/8 + 1/8.",CONTENT.4.NF.B.3.B,CCSS.CONTENT.4.NF.B.3.B,CONTENT,NF,B.3.B
1414,1,CCSS,2,4,"Add and subtract mixed numbers with like denominators, e.g., by replacing each mixed number with an equivalent fraction, and/or by using properties of operations and the relationship between addition and subtraction.",CONTENT.4.NF.B.3.C,CCSS.CONTENT.4.NF.B.3.C,CONTENT,NF,B.3.C
1415,1,CCSS,2,4,"Solve word problems involving addition and subtraction of fractions referring to the same whole and having like denominators, e.g., by using visual fraction models and equations to represent the problem.",CONTENT.4.NF.B.3.D,CCSS.CONTENT.4.NF.B.3.D,CONTENT,NF,B.3.D
1416,1,CCSS,2,4,Apply and extend previous understandings of multiplication to multiply a fraction by a whole number.,CONTENT.4.NF.B.4,CCSS.CONTENT.4.NF.B.4,CONTENT,NF,B.4
1417,1,CCSS,2,4,"Understand a fraction a/b as a multiple of 1/b. For example, use a visual fraction model to represent 5/4 as the product 5 × (1/4), recording the conclusion by the equation 5/4 = 5 × (1/4).",CONTENT.4.NF.B.4.A,CCSS.CONTENT.4.NF.B.4.A,CONTENT,NF,B.4.A
1418,1,CCSS,2,4,"Understand a multiple of a/b as a multiple of 1/b, and use this understanding to multiply a fraction by a whole number. For example, use a visual fraction model to express 3 × (2/5) as 6 × (1/5), recognizing this product as 6/5. (In general, n × (a/b) = (n × a)/b.)",CONTENT.4.NF.B.4.B,CCSS.CONTENT.4.NF.B.4.B,CONTENT,NF,B.4.B
1419,1,CCSS,2,4,"Solve word problems involving multiplication of a fraction by a whole number, e.g., by using visual fraction models and equations to represent the problem. For example, if each person at a party will eat 3/8 of a pound of roast beef, and there will be 5 people at the party, how many pounds of roast beef will be needed? Between what two whole numbers does your answer lie?",CONTENT.4.NF.B.4.C,CCSS.CONTENT.4.NF.B.4.C,CONTENT,NF,B.4.C
1420,1,CCSS,2,4,"Express a fraction with denominator 10 as an equivalent fraction with denominator 100, and use this technique to add two fractions with respective denominators 10 and 100.2 For example, express 3/10 as 30/100, and add 3/10 + 4/100 = 34/100.",CONTENT.4.NF.C.5,CCSS.CONTENT.4.NF.C.5,CONTENT,NF,C.5
1421,1,CCSS,2,4,"Use decimal notation for fractions with denominators 10 or 100. For example, rewrite 0.62 as 62/100; describe a length as 0.62 meters; locate 0.62 on a number line diagram.",CONTENT.4.NF.C.6,CCSS.CONTENT.4.NF.C.6,CONTENT,NF,C.6
1422,1,CCSS,2,4,"Compare two decimals to hundredths by reasoning about their size. Recognize that comparisons are valid only when the two decimals refer to the same whole. Record the results of comparisons with the symbols >, =, or <, and justify the conclusions, e.g., by using a visual model.",CONTENT.4.NF.C.7,CCSS.CONTENT.4.NF.C.7,CONTENT,NF,C.7
1398,1,CCSS,2,4,"Interpret a multiplication equation as a comparison, e.g., interpret 35 = 5 × 7 as a statement that 35 is 5 times as many as 7 and 7 times as many as 5. Represent verbal statements of multiplicative comparisons as multiplication equations.",CONTENT.4.OA.A.1,CCSS.CONTENT.4.OA.A.1,CONTENT,OA,A.1
1399,1,CCSS,2,4,"Multiply or divide to solve word problems involving multiplicative comparison, e.g., by using drawings and equations with a symbol for the unknown number to represent the problem, distinguishing multiplicative comparison from additive comparison.1",CONTENT.4.OA.A.2,CCSS.CONTENT.4.OA.A.2,CONTENT,OA,A.2
1400,1,CCSS,2,4,"Solve multistep word problems posed with whole numbers and having whole-number answers using the four operations, including problems in which remainders must be interpreted. Represent these problems using equations with a letter standing for the unknown quantity. Assess the reasonableness of answers using mental computation and estimation strategies including rounding.",CONTENT.4.OA.A.3,CCSS.CONTENT.4.OA.A.3,CONTENT,OA,A.3
1401,1,CCSS,2,4,Find all factor pairs for a whole number in the range 1-100. Recognize that a whole number is a multiple of each of its factors. Determine whether a given whole number in the range 1-100 is a multiple of a given one-digit number. Determine whether a given whole number in the range 1-100 is prime or composite.,CONTENT.4.OA.B.4,CCSS.CONTENT.4.OA.B.4,CONTENT,OA,B.4
1402,1,CCSS,2,4,"Generate a number or shape pattern that follows a given rule. Identify apparent features of the pattern that were not explicit in the rule itself. For example, given the rule ""Add 3"" and the starting number 1, generate terms in the resulting sequence and observe that the terms appear to alternate between odd and even numbers. Explain informally why the numbers will continue to alternate in this way.",CONTENT.4.OA.C.5,CCSS.CONTENT.4.OA.C.5,CONTENT,OA,C.5
1471,1,CCSS,2,5,"Use a pair of perpendicular number lines, called axes, to define a coordinate system, with the intersection of the lines (the origin) arranged to coincide with the 0 on each line and a given point in the plane located by using an ordered pair of numbers, called its coordinates. Understand that the first number indicates how far to travel from the origin in the direction of one axis, and the second number indicates how far to travel in the direction of the second axis, with the convention that the names of the two axes and the coordinates correspond (e.g., x-axis and x-coordinate, y-axis and y-coordinate).",CONTENT.5.G.A.1,CCSS.CONTENT.5.G.A.1,CONTENT,G,A.1
1472,1,CCSS,2,5,Classify two-dimensional figures into categories based on their properties.,CONTENT.5.G.A.2,CCSS.CONTENT.5.G.A.2,CONTENT,G,A.2
