CCSS Code,CCSS Standard,Mapped Framework,Mapped Code,Mapped Standard / Benchmark
CCSS.RF.3.4,Read with sufficient accuracy and fluency to support comprehension.,BLOOM,BLOOM.5.1,Detecting inconsistencies or fallacies within a process or product; determining whether a process or product has internal consistency; detecting the effectiveness of a procedure as it is being implemented
CCSS.RF.3.4,Read with sufficient accuracy and fluency to support comprehension.,TEKS,TEKS.ELAR.3.2(B)(iv),(iv) spelling multisyllabic words with multiple sound-spelling patterns
CCSS.RF.3.4,Read with sufficient accuracy and fluency to support comprehension.,TEKS,TEKS.ELAR.3.6(I),"(I) monitor comprehension and make adjustments such as re-reading, using background knowledge, asking questions, and annotating when understanding breaks down."
CCSS.RF.3.4,Read with sufficient accuracy and fluency to support comprehension.,BEST,BEST.ELA.3.F.1.4,"Read grade-level texts with accuracy, automaticity, and appropriate prosody or expression."
CCSS.RF.3.4,Read with sufficient accuracy and fluency to support comprehension.,GSE,3.F.F.1,"**Oral & Silent Reading Fluency** Demonstrate oral and silent reading fluency to read grade-level texts for understanding, self-correcting as necessary to ensure accuracy and aid comprehension."
CCSS.RI.3.1,"Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.",BLOOM,BLOOM.2.2,Finding a specific example or illustration of a concept or principle
CCSS.RI.3.1,"Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.",BLOOM,BLOOM.2.5,Drawing a logical conclusion from presented information
CCSS.RI.3.1,"Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.",BLOOM,BLOOM.3.1,Applying a procedure to a familiar task
CCSS.RI.3.1,"Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.",TEKS,TEKS.ELAR.3.6(B),"(B) generate questions about text before, during, and after reading to deepen understanding and gain information"
CCSS.RI.3.1,"Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.",TEKS,TEKS.ELAR.3.7(B),(B) write a response to a literary or informational text that demonstrates an understanding of a text
CCSS.RI.3.1,"Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.",TEKS,TEKS.ELAR.3.7(C),(C) use text evidence to support an appropriate response
CCSS.RI.3.1,"Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.",BEST,BEST.ELA.3.R.2.2,Identify the central idea and explain how relevant details support that idea in a text.
CCSS.RI.3.1,"Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.",BEST,BEST.ELA.K12.EE.3.1,Make inferences to support comprehension
CCSS.RI.3.1,"Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.",GSE,3.T.RA.2.a,"Refer to specific passages from a text to support an idea, answer, or opinion. (I)"
CCSS.RI.3.10,"By the end of the year, read and comprehend informational texts, including history/social studies, science, and technical texts, at the high end of the grades 2-3 text complexity band independently and proficiently.",BLOOM,BLOOM.1,Retrieve relevant knowledge from long-term memory
CCSS.RI.3.10,"By the end of the year, read and comprehend informational texts, including history/social studies, science, and technical texts, at the high end of the grades 2-3 text complexity band independently and proficiently.",BLOOM,BLOOM.2,"Construct meaning from instructional messages, including oral, written, and graphic communication"
CCSS.RI.3.10,"By the end of the year, read and comprehend informational texts, including history/social studies, science, and technical texts, at the high end of the grades 2-3 text complexity band independently and proficiently.",TEKS,TEKS.ELAR.3.10(A),(A) explain the author's purpose and message within a text
CCSS.RI.3.10,"By the end of the year, read and comprehend informational texts, including history/social studies, science, and technical texts, at the high end of the grades 2-3 text complexity band independently and proficiently.",BEST,BEST.ELA.3.F.1.4,"Read grade-level texts with accuracy, automaticity, and appropriate prosody or expression."
CCSS.RI.3.10,"By the end of the year, read and comprehend informational texts, including history/social studies, science, and technical texts, at the high end of the grades 2-3 text complexity band independently and proficiently.",GSE,3.P.EICC.3,"**Comprehension Strategies** Engage with a range of complex texts for a variety of tasks and purposes, accessing and using strategies for comprehension* before, during, and after reading as part of the meaning-making process."
CCSS.RI.3.2,Determine the main idea of a text; recount the key details and explain how they support the main idea.,BLOOM,BLOOM.2.4,Abstracting a general theme or major point(s)
CCSS.RI.3.2,Determine the main idea of a text; recount the key details and explain how they support the main idea.,BLOOM,BLOOM.4.2,Determining how elements fit or function within a structure
CCSS.RI.3.2,Determine the main idea of a text; recount the key details and explain how they support the main idea.,BLOOM,BLOOM.5.2,"Detecting inconsistencies between a product and external criteria, determining whether a product has external consistency; detecting the appropriateness of a procedure for a given problem"
CCSS.RI.3.2,Determine the main idea of a text; recount the key details and explain how they support the main idea.,TEKS,TEKS.ELAR.3.6(G),(G) evaluate details read to determine key ideas
CCSS.RI.3.2,Determine the main idea of a text; recount the key details and explain how they support the main idea.,TEKS,TEKS.ELAR.3.7(D),(D) retell and paraphrase texts in ways that maintain meaning and logical order
CCSS.RI.3.2,Determine the main idea of a text; recount the key details and explain how they support the main idea.,TEKS,TEKS.ELAR.3.9(D)(i),"(D) recognize characteristics and structures of informational text, including: (i) the central idea with supporting evidence"
CCSS.RI.3.2,Determine the main idea of a text; recount the key details and explain how they support the main idea.,BEST,BEST.ELA.3.R.2.2,Identify the central idea and explain how relevant details support that idea in a text.
CCSS.RI.3.2,Determine the main idea of a text; recount the key details and explain how they support the main idea.,BEST,BEST.ELA.K12.EE.1.1,Cite evidence to explain and justify reasoning
CCSS.RI.3.2,Determine the main idea of a text; recount the key details and explain how they support the main idea.,GSE,3.T.T.2.a,"Describe the techniques used to present and design expository texts, including facts and key details used to support the main idea. (I)"
CCSS.RI.3.3,"Describe the relationship between a series of historical events, scientific ideas or concepts, or steps in technical procedures in a text, using language that pertains to time, sequence, and cause/effect.",BLOOM,BLOOM.4.2,Determining how elements fit or function within a structure
CCSS.RI.3.3,"Describe the relationship between a series of historical events, scientific ideas or concepts, or steps in technical procedures in a text, using language that pertains to time, sequence, and cause/effect.",BLOOM,BLOOM.4.3,"Determine a point of view, bias, values, or intent underlying presented material"
CCSS.RI.3.3,"Describe the relationship between a series of historical events, scientific ideas or concepts, or steps in technical procedures in a text, using language that pertains to time, sequence, and cause/effect.",TEKS,TEKS.ELAR.3.10(B),(B) explain how the use of text structure contributes to the author's purpose
CCSS.RI.3.3,"Describe the relationship between a series of historical events, scientific ideas or concepts, or steps in technical procedures in a text, using language that pertains to time, sequence, and cause/effect.",BEST,BEST.ELA.3.R.2.1,"Explain how text features contribute to meaning and identify the text structures of chronology, comparison, and cause/effect in texts."
CCSS.RI.3.3,"Describe the relationship between a series of historical events, scientific ideas or concepts, or steps in technical procedures in a text, using language that pertains to time, sequence, and cause/effect.",BEST,BEST.ELA.3.R.2.2,Identify the central idea and explain how relevant details support that idea in a text.
CCSS.RI.3.3,"Describe the relationship between a series of historical events, scientific ideas or concepts, or steps in technical procedures in a text, using language that pertains to time, sequence, and cause/effect.",GSE,3.T.T.2.b,"Describe the relationship between a series of historical events, scientific ideas or concepts, or steps in technical procedures in a text. (I)"
CCSS.RI.3.4,Determine the meaning of general academic and domain-specific words and phrases in a text relevant to a grade 3 topic or subject area.,BLOOM,BLOOM.2.1,"Changing from one form of representation to another (numerical to verbal, e.g.)"
CCSS.RI.3.4,Determine the meaning of general academic and domain-specific words and phrases in a text relevant to a grade 3 topic or subject area.,BLOOM,BLOOM.2.5,Drawing a logical conclusion from presented information
CCSS.RI.3.4,Determine the meaning of general academic and domain-specific words and phrases in a text relevant to a grade 3 topic or subject area.,TEKS,TEKS.ELAR.3.3(A),"(A) use print or digital resources to determine meaning, syllabication, and pronunciation"
CCSS.RI.3.4,Determine the meaning of general academic and domain-specific words and phrases in a text relevant to a grade 3 topic or subject area.,TEKS,TEKS.ELAR.3.3(B),(B) use context within and beyond a sentence to determine the meaning of unfamiliar words and multiple-meaning words
CCSS.RI.3.4,Determine the meaning of general academic and domain-specific words and phrases in a text relevant to a grade 3 topic or subject area.,TEKS,TEKS.ELAR.3.3(C),"(C) identify the meaning of and use words with affixes such as im- (into), non-, dis-, in- (not, non), pre-, -ness, -y, and -ful; and"
CCSS.RI.3.4,Determine the meaning of general academic and domain-specific words and phrases in a text relevant to a grade 3 topic or subject area.,BEST,BEST.ELA.3.R.2.1,"Explain how text features contribute to meaning and identify the text structures of chronology, comparison, and cause/effect in texts."
CCSS.RI.3.4,Determine the meaning of general academic and domain-specific words and phrases in a text relevant to a grade 3 topic or subject area.,BEST,BEST.ELA.3.V.1.1,Use grade-level academic vocabulary appropriately in speaking and writing.
CCSS.RI.3.4,Determine the meaning of general academic and domain-specific words and phrases in a text relevant to a grade 3 topic or subject area.,BEST,BEST.ELA.3.V.1.3,"Use context clues, figurative language, word relationships, reference materials, and/or background knowledge to determine the meaning of multiple-meaning and unknown words and phrases, appropriate to grade level."
CCSS.RI.3.4,Determine the meaning of general academic and domain-specific words and phrases in a text relevant to a grade 3 topic or subject area.,GSE,3.L.V.3,**Meaning & Purpose** Make connections between words and phrases and use reference materials to determine or clarify word meanings in a variety of settings and for a variety of purposes.
CCSS.RI.3.5,"Use text features and search tools (e.g., key words, sidebars, hyperlinks) to locate information relevant to a given topic efficiently.",BLOOM,BLOOM.2.1,"Changing from one form of representation to another (numerical to verbal, e.g.)"
CCSS.RI.3.5,"Use text features and search tools (e.g., key words, sidebars, hyperlinks) to locate information relevant to a given topic efficiently.",BLOOM,BLOOM.3.2,Applying a procedure to an unfamiliar task
CCSS.RI.3.5,"Use text features and search tools (e.g., key words, sidebars, hyperlinks) to locate information relevant to a given topic efficiently.",BLOOM,BLOOM.4.3,"Determine a point of view, bias, values, or intent underlying presented material"
CCSS.RI.3.5,"Use text features and search tools (e.g., key words, sidebars, hyperlinks) to locate information relevant to a given topic efficiently.",TEKS,TEKS.ELAR.3.10(C),(C) explain the author's use of print and graphic features to achieve specific purposes
CCSS.RI.3.5,"Use text features and search tools (e.g., key words, sidebars, hyperlinks) to locate information relevant to a given topic efficiently.",TEKS,TEKS.ELAR.3.9(D)(ii),"(D) recognize characteristics and structures of informational text, including: (ii) features such as sections, tables, graphs, timelines, bullets, numbers, and bold and italicized font to support understanding; and"
CCSS.RI.3.5,"Use text features and search tools (e.g., key words, sidebars, hyperlinks) to locate information relevant to a given topic efficiently.",BEST,BEST.ELA.3.C.4.1,"Conduct research to answer a question, organizing information about the topic from multiple sources."
CCSS.RI.3.5,"Use text features and search tools (e.g., key words, sidebars, hyperlinks) to locate information relevant to a given topic efficiently.",BEST,BEST.ELA.3.C.5.2,"Use digital writing tools individually or collaboratively to plan, draft, and revise writing."
CCSS.RI.3.5,"Use text features and search tools (e.g., key words, sidebars, hyperlinks) to locate information relevant to a given topic efficiently.",BEST,BEST.ELA.3.R.2.1,"Explain how text features contribute to meaning and identify the text structures of chronology, comparison, and cause/effect in texts."
CCSS.RI.3.5,"Use text features and search tools (e.g., key words, sidebars, hyperlinks) to locate information relevant to a given topic efficiently.",GSE,3.P.AC.1.d,"Describe, analyze, and evaluate the design and organization of the text, explaining how specific formats, structures, patterns, and features influence the audience, contribute to the text’s accessibility, and support the text’s purpose. (I/C)"
CCSS.RI.3.6,Distinguish their own point of view from that of the author of a text.,BLOOM,BLOOM.3.1,Applying a procedure to a familiar task
CCSS.RI.3.6,Distinguish their own point of view from that of the author of a text.,BLOOM,BLOOM.4.3,"Determine a point of view, bias, values, or intent underlying presented material"
CCSS.RI.3.6,Distinguish their own point of view from that of the author of a text.,TEKS,TEKS.ELAR.3.10(A),(A) explain the author's purpose and message within a text
CCSS.RI.3.6,Distinguish their own point of view from that of the author of a text.,TEKS,TEKS.ELAR.3.7(A),"(A) describe personal connections to a variety of sources, including self-selected texts"
CCSS.RI.3.6,Distinguish their own point of view from that of the author of a text.,TEKS,TEKS.ELAR.3.7(B),(B) write a response to a literary or informational text that demonstrates an understanding of a text
CCSS.RI.3.6,Distinguish their own point of view from that of the author of a text.,BEST,BEST.ELA.3.C.4.1,"Conduct research to answer a question, organizing information about the topic from multiple sources."
CCSS.RI.3.6,Distinguish their own point of view from that of the author of a text.,GSE,3.T.C.2.a,Describe different perspectives of the narrator or speakers and distinguish them from their own. (I)
CCSS.RI.3.7,"Use information gained from illustrations (e.g., maps, photographs) and the words in a text to demonstrate understanding of the text (e.g., where, when, why, and how key events occur).",BLOOM,BLOOM.2.4,Abstracting a general theme or major point(s)
CCSS.RI.3.7,"Use information gained from illustrations (e.g., maps, photographs) and the words in a text to demonstrate understanding of the text (e.g., where, when, why, and how key events occur).",BLOOM,BLOOM.4.2,Determining how elements fit or function within a structure
CCSS.RI.3.7,"Use information gained from illustrations (e.g., maps, photographs) and the words in a text to demonstrate understanding of the text (e.g., where, when, why, and how key events occur).",BLOOM,BLOOM.4.3,"Determine a point of view, bias, values, or intent underlying presented material"
CCSS.RI.3.7,"Use information gained from illustrations (e.g., maps, photographs) and the words in a text to demonstrate understanding of the text (e.g., where, when, why, and how key events occur).",TEKS,TEKS.ELAR.3.10(C),(C) explain the author's use of print and graphic features to achieve specific purposes
CCSS.RI.3.7,"Use information gained from illustrations (e.g., maps, photographs) and the words in a text to demonstrate understanding of the text (e.g., where, when, why, and how key events occur).",TEKS,TEKS.ELAR.3.6(H),(H) synthesize information to create new understanding; and
CCSS.RI.3.7,"Use information gained from illustrations (e.g., maps, photographs) and the words in a text to demonstrate understanding of the text (e.g., where, when, why, and how key events occur).",TEKS,TEKS.ELAR.3.9(F),(F) recognize characteristics of multimodal and digital texts.
CCSS.RI.3.7,"Use information gained from illustrations (e.g., maps, photographs) and the words in a text to demonstrate understanding of the text (e.g., where, when, why, and how key events occur).",BEST,BEST.ELA.3.C.5.1,Use two or more multimedia elements to enhance oral or written tasks.
CCSS.RI.3.7,"Use information gained from illustrations (e.g., maps, photographs) and the words in a text to demonstrate understanding of the text (e.g., where, when, why, and how key events occur).",GSE,3.P.AC.3.a,"Explore and create texts in various modes and genres, developing and applying knowledge of how specific features impact meaning, tone, style, purpose, and audience. (I/C)"
CCSS.RI.3.8,"Describe the logical connection between particular sentences and paragraphs in a text (e.g., comparison, cause/effect, first/second/third in a sequence).",BLOOM,BLOOM.2.6,"Detecting correspondences between two ideas, objects and the like"
CCSS.RI.3.8,"Describe the logical connection between particular sentences and paragraphs in a text (e.g., comparison, cause/effect, first/second/third in a sequence).",BLOOM,BLOOM.4.2,Determining how elements fit or function within a structure
CCSS.RI.3.8,"Describe the logical connection between particular sentences and paragraphs in a text (e.g., comparison, cause/effect, first/second/third in a sequence).",TEKS,TEKS.ELAR.3.10(B),(B) explain how the use of text structure contributes to the author's purpose
CCSS.RI.3.8,"Describe the logical connection between particular sentences and paragraphs in a text (e.g., comparison, cause/effect, first/second/third in a sequence).",TEKS,TEKS.ELAR.3.9(D)(iii),"(D) recognize characteristics and structures of informational text, including: (iii) organizational patterns such as cause and effect and problem and solution"
CCSS.RI.3.8,"Describe the logical connection between particular sentences and paragraphs in a text (e.g., comparison, cause/effect, first/second/third in a sequence).",BEST,BEST.ELA.3.R.2.1,"Explain how text features contribute to meaning and identify the text structures of chronology, comparison, and cause/effect in texts."
CCSS.RI.3.8,"Describe the logical connection between particular sentences and paragraphs in a text (e.g., comparison, cause/effect, first/second/third in a sequence).",BEST,BEST.ELA.3.R.2.4,Identify an author’s claim and explain how an author uses evidence to support the claim.
CCSS.RI.3.8,"Describe the logical connection between particular sentences and paragraphs in a text (e.g., comparison, cause/effect, first/second/third in a sequence).",GSE,3.T.T.3.a,"Describe and discuss the techniques used to present and design opinion texts, including author’s opinion statement, supporting reasons, and evidence. (I)"
CCSS.RI.3.9,Compare and contrast the most important points and key details presented in two texts on the same topic.,BLOOM,BLOOM.2.4,Abstracting a general theme or major point(s)
CCSS.RI.3.9,Compare and contrast the most important points and key details presented in two texts on the same topic.,BLOOM,BLOOM.2.6,"Detecting correspondences between two ideas, objects and the like"
CCSS.RI.3.9,Compare and contrast the most important points and key details presented in two texts on the same topic.,BLOOM,BLOOM.4.3,"Determine a point of view, bias, values, or intent underlying presented material"
CCSS.RI.3.9,Compare and contrast the most important points and key details presented in two texts on the same topic.,TEKS,TEKS.ELAR.3.6(E),"(E) make connections to personal experiences, ideas in other texts, and society"
CCSS.RI.3.9,Compare and contrast the most important points and key details presented in two texts on the same topic.,TEKS,TEKS.ELAR.3.6(G),(G) evaluate details read to determine key ideas
CCSS.RI.3.9,Compare and contrast the most important points and key details presented in two texts on the same topic.,BEST,BEST.ELA.3.R.2.4,Identify an author’s claim and explain how an author uses evidence to support the claim.
CCSS.RI.3.9,Compare and contrast the most important points and key details presented in two texts on the same topic.,BEST,BEST.ELA.K12.EE.1.1,Cite evidence to explain and justify reasoning
CCSS.RI.3.9,Compare and contrast the most important points and key details presented in two texts on the same topic.,BEST,BEST.ELA.K12.EE.3.1,Make inferences to support comprehension
CCSS.RI.3.9,Compare and contrast the most important points and key details presented in two texts on the same topic.,GSE,3.T.T.2.b,"Describe the relationship between a series of historical events, scientific ideas or concepts, or steps in technical procedures in a text. (I)"
CCSS.RL.3.1,"Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.",BLOOM,BLOOM.2.2,Finding a specific example or illustration of a concept or principle
CCSS.RL.3.1,"Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.",BLOOM,BLOOM.2.5,Drawing a logical conclusion from presented information
CCSS.RL.3.1,"Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.",BLOOM,BLOOM.3.1,Applying a procedure to a familiar task
CCSS.RL.3.1,"Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.",TEKS,TEKS.ELAR.3.6(B),"(B) generate questions about text before, during, and after reading to deepen understanding and gain information"
CCSS.RL.3.1,"Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.",TEKS,TEKS.ELAR.3.7(C),(C) use text evidence to support an appropriate response
CCSS.RL.3.1,"Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.",BEST,BEST.ELA.3.C.1.3,"Write opinions about a topic or text, include reasons supported by details from one or more sources, use transitions, and provide a conclusion."
CCSS.RL.3.1,"Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.",BEST,BEST.ELA.K12.EE.1.1,Cite evidence to explain and justify reasoning
CCSS.RL.3.1,"Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.",BEST,BEST.ELA.K12.EE.3.1,Make inferences to support comprehension
CCSS.RL.3.1,"Ask and answer questions to demonstrate understanding of a text, referring explicitly to the text as the basis for the answers.",GSE,3.P.EICC.3.f,"Make, track, and support inferences about different levels of meaning within the text. (I)"
CCSS.RL.3.10,"By the end of the year, read and comprehend literature, including stories, dramas, and poetry, at the high end of the grades 2-3 text complexity band independently and proficiently.",BLOOM,BLOOM.1,Retrieve relevant knowledge from long-term memory
CCSS.RL.3.10,"By the end of the year, read and comprehend literature, including stories, dramas, and poetry, at the high end of the grades 2-3 text complexity band independently and proficiently.",BLOOM,BLOOM.2,"Construct meaning from instructional messages, including oral, written, and graphic communication"
CCSS.RL.3.10,"By the end of the year, read and comprehend literature, including stories, dramas, and poetry, at the high end of the grades 2-3 text complexity band independently and proficiently.",BEST,BEST.ELA.3.F.1.3,"Use knowledge of grade-level phonics and word-analysis skills to decode words. a. Decode words with common Greek and Latin roots and affixes. (See benchmark 3.V.1.2) b. Decode words with common derivational suffixes and describe how they turn words into different parts of speech. (e.g., -ful, -less, -est). c. Decode multisyllabic words."
CCSS.RL.3.10,"By the end of the year, read and comprehend literature, including stories, dramas, and poetry, at the high end of the grades 2-3 text complexity band independently and proficiently.",BEST,BEST.ELA.3.R.3.2,Summarize a text to enhance comprehension: a. Include plot and theme for a literary text; b. Use the central idea and relevant details for an informational text.
CCSS.RL.3.10,"By the end of the year, read and comprehend literature, including stories, dramas, and poetry, at the high end of the grades 2-3 text complexity band independently and proficiently.",GSE,3.P.EICC.3,"**Comprehension Strategies** Engage with a range of complex texts for a variety of tasks and purposes, accessing and using strategies for comprehension* before, during, and after reading as part of the meaning-making process."
CCSS.RL.3.2,"Recount stories, including fables, folktales, and myths from diverse cultures; determine the central message, lesson, or moral and explain how it is conveyed through key details in the text.",BLOOM,BLOOM.2.4,Abstracting a general theme or major point(s)
CCSS.RL.3.2,"Recount stories, including fables, folktales, and myths from diverse cultures; determine the central message, lesson, or moral and explain how it is conveyed through key details in the text.",BLOOM,BLOOM.4.2,Determining how elements fit or function within a structure
CCSS.RL.3.2,"Recount stories, including fables, folktales, and myths from diverse cultures; determine the central message, lesson, or moral and explain how it is conveyed through key details in the text.",BLOOM,BLOOM.5.2,"Detecting inconsistencies between a product and external criteria, determining whether a product has external consistency; detecting the appropriateness of a procedure for a given problem"
CCSS.RL.3.2,"Recount stories, including fables, folktales, and myths from diverse cultures; determine the central message, lesson, or moral and explain how it is conveyed through key details in the text.",TEKS,TEKS.ELAR.3.6(G),(G) evaluate details read to determine key ideas
CCSS.RL.3.2,"Recount stories, including fables, folktales, and myths from diverse cultures; determine the central message, lesson, or moral and explain how it is conveyed through key details in the text.",TEKS,TEKS.ELAR.3.9(A),"(A) demonstrate knowledge of distinguishing characteristics of well-known children's literature such as folktales, fables, fairy tales, legends, and myths"
CCSS.RL.3.2,"Recount stories, including fables, folktales, and myths from diverse cultures; determine the central message, lesson, or moral and explain how it is conveyed through key details in the text.",BEST,BEST.ELA.3.R.1.1,Explain how one or more characters develop throughout the plot in a literary text.
CCSS.RL.3.2,"Recount stories, including fables, folktales, and myths from diverse cultures; determine the central message, lesson, or moral and explain how it is conveyed through key details in the text.",BEST,BEST.ELA.3.R.3.2,Summarize a text to enhance comprehension: a. Include plot and theme for a literary text; b. Use the central idea and relevant details for an informational text.
CCSS.RL.3.2,"Recount stories, including fables, folktales, and myths from diverse cultures; determine the central message, lesson, or moral and explain how it is conveyed through key details in the text.",GSE,3.T.T.1.c,"Describe characters’ traits, motivations, actions, thoughts, and feelings and explain their connection to the central message, lesson, or moral of the story. (I)"
