ccss_code,ccss_description,grade,framework,framework_code,framework_description,framework_tag,framework_strand,framework_substrand
CCSS.L.11-12.2.A,Observe hyphenation conventions.,11,BEST,BEST.ELA.12.C.3.1,"Follow the rules of standard English grammar, punctuation, capitalization, and spelling appropriate to grade level.",,Communication: Following Conventions,Conventions
CCSS.L.11-12.2.A,Observe hyphenation conventions.,11,TEKS,TEKS.ELAR.E3.9(D),(D) edit drafts to demonstrate a command of standard English conventions using a style guide as appropriate; and,,,
CCSS.L.11-12.2.A,Observe hyphenation conventions.,11,TEKS,TEKS.ELAR.E4.9(D),(D) edit drafts to demonstrate a command of standard English conventions using a style guide as appropriate; and,,,
CCSS.L.11-12.2.B,Spell correctly.,11,BEST,BEST.ELA.11.C.3.1,"Follow the rules of standard English grammar, punctuation, capitalization, and spelling appropriate to grade level.",,Communication: Following Conventions,Conventions
CCSS.L.11-12.2.B,Spell correctly.,11,BEST,Knowledge of Language:,,,,
CCSS.L.11-12.2.B,Spell correctly.,11,BEST,BEST.ELA.12.C.3.1,"Follow the rules of standard English grammar, punctuation, capitalization, and spelling appropriate to grade level.",,Communication: Following Conventions,Conventions
CCSS.L.11-12.2.B,Spell correctly.,11,TEKS,TEKS.ELAR.E3.9(D),(D) edit drafts to demonstrate a command of standard English conventions using a style guide as appropriate; and,,,
CCSS.L.11-12.2.B,Spell correctly.,11,TEKS,TEKS.ELAR.Knowledge of Language:,,,,
CCSS.L.11-12.2.B,Spell correctly.,11,TEKS,TEKS.ELAR.E4.9(D),(D) edit drafts to demonstrate a command of standard English conventions using a style guide as appropriate; and,,,
CCSS.L.11-12.3,"Apply knowledge of language to understand how language functions in different contexts, to make effective choices for meaning or style, and to comprehend more fully when reading or listening.",11,BLOOM,BLOOM.3.1,Applying a procedure to a familiar task,Executing,,
CCSS.L.11-12.3,"Apply knowledge of language to understand how language functions in different contexts, to make effective choices for meaning or style, and to comprehend more fully when reading or listening.",11,BLOOM,BLOOM.4.2,Determining how elements fit or function within a structure,Organizing,,
CCSS.L.11-12.3,"Apply knowledge of language to understand how language functions in different contexts, to make effective choices for meaning or style, and to comprehend more fully when reading or listening.",11,BEST,BEST.ELA.11.C.3.1,"Follow the rules of standard English grammar, punctuation, capitalization, and spelling appropriate to grade level.",,Communication: Following Conventions,Conventions
CCSS.L.11-12.3,"Apply knowledge of language to understand how language functions in different contexts, to make effective choices for meaning or style, and to comprehend more fully when reading or listening.",11,BEST,BEST.ELA.12.C.3.1,"Follow the rules of standard English grammar, punctuation, capitalization, and spelling appropriate to grade level.",,Communication: Following Conventions,Conventions
CCSS.L.11-12.3,"Apply knowledge of language to understand how language functions in different contexts, to make effective choices for meaning or style, and to comprehend more fully when reading or listening.",11,TEKS,TEKS.ELAR.E3.5(H),"(H) respond orally or in writing with appropriate register and effective vocabulary, tone, and voice;",,,
CCSS.L.11-12.3,"Apply knowledge of language to understand how language functions in different contexts, to make effective choices for meaning or style, and to comprehend more fully when reading or listening.",11,TEKS,TEKS.ELAR.E3.9(C),"(C) revise drafts to improve clarity, development, organization, style, diction, and sentence fluency, both within and between sentences;",,,
CCSS.L.11-12.3,"Apply knowledge of language to understand how language functions in different contexts, to make effective choices for meaning or style, and to comprehend more fully when reading or listening.",11,TEKS,TEKS.ELAR.E4.5(H),"(H) respond orally or in writing with appropriate register and purposeful vocabulary, tone, and voice;",,,
CCSS.L.11-12.3,"Apply knowledge of language to understand how language functions in different contexts, to make effective choices for meaning or style, and to comprehend more fully when reading or listening.",11,TEKS,TEKS.ELAR.E4.9(C),"(C) revise drafts to improve clarity, development, organization, style, diction, and sentence fluency, both within and between sentences;",,,
CCSS.L.11-12.3.A,"Vary syntax for effect, consulting references (e.g., Tufte's Artful Sentences) for guidance as needed; apply an understanding of syntax to the study of complex texts when reading.",11,BLOOM,BLOOM.4.2,Determining how elements fit or function within a structure,Organizing,,
CCSS.L.11-12.3.A,"Vary syntax for effect, consulting references (e.g., Tufte's Artful Sentences) for guidance as needed; apply an understanding of syntax to the study of complex texts when reading.",11,BLOOM,BLOOM.3.2,Applying a procedure to an unfamiliar task,Implementing,,
CCSS.L.11-12.3.A,"Vary syntax for effect, consulting references (e.g., Tufte's Artful Sentences) for guidance as needed; apply an understanding of syntax to the study of complex texts when reading.",11,BEST,BEST.ELA.11.C.3.1,"Follow the rules of standard English grammar, punctuation, capitalization, and spelling appropriate to grade level.",,Communication: Following Conventions,Conventions
CCSS.L.11-12.3.A,"Vary syntax for effect, consulting references (e.g., Tufte's Artful Sentences) for guidance as needed; apply an understanding of syntax to the study of complex texts when reading.",11,BEST,Vocabulary Acquisition and Use:,,,,
CCSS.L.11-12.3.A,"Vary syntax for effect, consulting references (e.g., Tufte's Artful Sentences) for guidance as needed; apply an understanding of syntax to the study of complex texts when reading.",11,BEST,BEST.ELA.12.C.3.1,"Follow the rules of standard English grammar, punctuation, capitalization, and spelling appropriate to grade level.",,Communication: Following Conventions,Conventions
CCSS.L.11-12.3.A,"Vary syntax for effect, consulting references (e.g., Tufte's Artful Sentences) for guidance as needed; apply an understanding of syntax to the study of complex texts when reading.",11,TEKS,TEKS.ELAR.E3.9(C),"(C) revise drafts to improve clarity, development, organization, style, diction, and sentence fluency, both within and between sentences;",,,
CCSS.L.11-12.3.A,"Vary syntax for effect, consulting references (e.g., Tufte's Artful Sentences) for guidance as needed; apply an understanding of syntax to the study of complex texts when reading.",11,TEKS,TEKS.ELAR.E3.9(E),(E) publish written work for appropriate audiences.,,,
CCSS.L.11-12.3.A,"Vary syntax for effect, consulting references (e.g., Tufte's Artful Sentences) for guidance as needed; apply an understanding of syntax to the study of complex texts when reading.",11,TEKS,TEKS.ELAR.Vocabulary Acquisition and Use:,,,,
CCSS.L.11-12.3.A,"Vary syntax for effect, consulting references (e.g., Tufte's Artful Sentences) for guidance as needed; apply an understanding of syntax to the study of complex texts when reading.",11,TEKS,TEKS.ELAR.E4.9(C),"(C) revise drafts to improve clarity, development, organization, style, diction, and sentence fluency, both within and between sentences;",,,
CCSS.L.11-12.3.A,"Vary syntax for effect, consulting references (e.g., Tufte's Artful Sentences) for guidance as needed; apply an understanding of syntax to the study of complex texts when reading.",11,TEKS,TEKS.ELAR.E4.9(E),(E) publish written work for appropriate audiences.,,,
CCSS.L.11-12.4,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grades 11-12 reading and content, choosing flexibly from a range of strategies.",11,BLOOM,BLOOM.1.1,Locating knowledge in long-term memory that is consistent with presented material,Recognizing,,
CCSS.L.11-12.4,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grades 11-12 reading and content, choosing flexibly from a range of strategies.",11,BEST,BEST.ELA.11.V.1.3,"Apply knowledge of context clues, figurative language, word relationships, reference materials, and/or background knowledge to determine the connotative and denotative meaning of words and phrases, appropriate to grade level.",,Vocabulary: Finding Meaning,Context and Connotation
CCSS.L.11-12.4,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grades 11-12 reading and content, choosing flexibly from a range of strategies.",11,BEST,BEST.ELA.12.V.1.3,"Apply knowledge of context clues, figurative language, word relationships, reference materials, and/or background knowledge to determine the connotative and denotative meaning of words and phrases, appropriate to grade level.",,Vocabulary: Finding Meaning,Context and Connotation
CCSS.L.11-12.4,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grades 11-12 reading and content, choosing flexibly from a range of strategies.",11,TEKS,TEKS.ELAR.E3.2,"(2) Developing and sustaining foundational language skills: listening, speaking, reading, writing, and thinking--vocabulary. The student uses newly acquired vocabulary expressively. The student is expected to:",,,
CCSS.L.11-12.4,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grades 11-12 reading and content, choosing flexibly from a range of strategies.",11,TEKS,TEKS.ELAR.E4.2,"(2) Developing and sustaining foundational language skills: listening, speaking, reading, writing, and thinking--vocabulary. The student uses newly acquired vocabulary expressively. The student is expected to:",,,
CCSS.L.11-12.4.A,"Use context (e.g., the overall meaning of a sentence, paragraph, or text; a word's position or function in a sentence) as a clue to the meaning of a word or phrase.",11,BLOOM,BLOOM.2.1,"Changing from one form of representation to another (numerical to verbal, e.g.)",Interpreting,,
CCSS.L.11-12.4.A,"Use context (e.g., the overall meaning of a sentence, paragraph, or text; a word's position or function in a sentence) as a clue to the meaning of a word or phrase.",11,BEST,BEST.ELA.11.V.1.3,"Apply knowledge of context clues, figurative language, word relationships, reference materials, and/or background knowledge to determine the connotative and denotative meaning of words and phrases, appropriate to grade level.",,Vocabulary: Finding Meaning,Context and Connotation
CCSS.L.11-12.4.A,"Use context (e.g., the overall meaning of a sentence, paragraph, or text; a word's position or function in a sentence) as a clue to the meaning of a word or phrase.",11,BEST,BEST.ELA.12.V.1.3,"Apply knowledge of context clues, figurative language, word relationships, reference materials, and/or background knowledge to determine the connotative and denotative meaning of words and phrases, appropriate to grade level.",,Vocabulary: Finding Meaning,Context and Connotation
CCSS.L.11-12.4.A,"Use context (e.g., the overall meaning of a sentence, paragraph, or text; a word's position or function in a sentence) as a clue to the meaning of a word or phrase.",11,TEKS,TEKS.ELAR.E3.2(B),(B) analyze context to draw conclusions about nuanced meanings such as in imagery; and,,,
CCSS.L.11-12.4.A,"Use context (e.g., the overall meaning of a sentence, paragraph, or text; a word's position or function in a sentence) as a clue to the meaning of a word or phrase.",11,TEKS,TEKS.ELAR.E4.2(B),(B) analyze context to draw conclusions about nuanced meanings such as in imagery; and,,,
CCSS.L.11-12.4.B,"Identify and correctly use patterns of word changes that indicate different meanings or parts of speech (e.g., conceive, conception, conceivable).",11,BLOOM,BLOOM.2.3,Determining that something belongs to a category,Classifying,,
CCSS.L.11-12.4.B,"Identify and correctly use patterns of word changes that indicate different meanings or parts of speech (e.g., conceive, conception, conceivable).",11,BEST,BEST.ELA.11.V.1.2,Apply knowledge of etymology and derivations to determine meanings of words and phrases in grade-level content.,,Vocabulary: Finding Meaning,Morphology
CCSS.L.11-12.4.B,"Identify and correctly use patterns of word changes that indicate different meanings or parts of speech (e.g., conceive, conception, conceivable).",11,BEST,BEST.ELA.12.V.1.2,"Apply knowledge of etymology, derivations, and commonly used foreign phrases to determine meanings of words and phrases in grade-level content.",,Vocabulary: Finding Meaning,Morphology
CCSS.L.11-12.4.C,"Consult general and specialized reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation of a word or determine or clarify its precise meaning, its part of speech, its etymology, or its standard usage.",11,BLOOM,BLOOM.2.5,Drawing a logical conclusion from presented information,Inferring,,
CCSS.L.11-12.4.C,"Consult general and specialized reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation of a word or determine or clarify its precise meaning, its part of speech, its etymology, or its standard usage.",11,BEST,BEST.ELA.11.V.1.3,"Apply knowledge of context clues, figurative language, word relationships, reference materials, and/or background knowledge to determine the connotative and denotative meaning of words and phrases, appropriate to grade level.",,Vocabulary: Finding Meaning,Context and Connotation
CCSS.L.11-12.4.C,"Consult general and specialized reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation of a word or determine or clarify its precise meaning, its part of speech, its etymology, or its standard usage.",11,BEST,BEST.ELA.12.V.1.3,"Apply knowledge of context clues, figurative language, word relationships, reference materials, and/or background knowledge to determine the connotative and denotative meaning of words and phrases, appropriate to grade level.",,Vocabulary: Finding Meaning,Context and Connotation
CCSS.L.11-12.4.C,"Consult general and specialized reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation of a word or determine or clarify its precise meaning, its part of speech, its etymology, or its standard usage.",11,TEKS,TEKS.ELAR.E3.2(A),(A) use print or digital resources to clarify and validate understanding of multiple meanings of advanced vocabulary;,,,
CCSS.L.11-12.4.C,"Consult general and specialized reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation of a word or determine or clarify its precise meaning, its part of speech, its etymology, or its standard usage.",11,TEKS,TEKS.ELAR.E4.2(A),(A) use print or digital resources to clarify and validate understanding of multiple meanings of advanced vocabulary;,,,
CCSS.L.11-12.4.D,"Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a dictionary).",11,BLOOM,BLOOM.2.5,Drawing a logical conclusion from presented information,Inferring,,
CCSS.L.11-12.4.D,"Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a dictionary).",11,BEST,BEST.ELA.11.V.1.3,"Apply knowledge of context clues, figurative language, word relationships, reference materials, and/or background knowledge to determine the connotative and denotative meaning of words and phrases, appropriate to grade level.",,Vocabulary: Finding Meaning,Context and Connotation
CCSS.L.11-12.4.D,"Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a dictionary).",11,BEST,BEST.ELA.12.V.1.3,"Apply knowledge of context clues, figurative language, word relationships, reference materials, and/or background knowledge to determine the connotative and denotative meaning of words and phrases, appropriate to grade level.",,Vocabulary: Finding Meaning,Context and Connotation
CCSS.L.11-12.4.D,"Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a dictionary).",11,TEKS,TEKS.ELAR.E3.2(A),(A) use print or digital resources to clarify and validate understanding of multiple meanings of advanced vocabulary;,,,
CCSS.L.11-12.4.D,"Verify the preliminary determination of the meaning of a word or phrase (e.g., by checking the inferred meaning in context or in a dictionary).",11,TEKS,TEKS.ELAR.E4.2(A),(A) use print or digital resources to clarify and validate understanding of multiple meanings of advanced vocabulary;,,,
CCSS.L.11-12.5,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings.",11,BLOOM,BLOOM.5,Make judgments based on criteria and standards,Evaluate,,
CCSS.L.11-12.5,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings.",11,BEST,BEST.ELA.11.R.3.1,Analyze the author’s use of figurative language and explain examples of allegory.,,Reading Across Genres,Interpreting Figurative Language
CCSS.L.11-12.5,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings.",11,BEST,BEST.ELA.12.R.3.1,Evaluate an author’s use of figurative language.,,Reading Across Genres,Interpreting Figurative Language
CCSS.L.11-12.5,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings.",11,TEKS,TEKS.ELAR.E3.8(D),(D) evaluate how the author's use of language informs and shapes the perception of readers;,,,
CCSS.L.11-12.5,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings.",11,TEKS,TEKS.ELAR.E3.8(F),"(F) evaluate how the author's diction and syntax contribute to the mood, voice, and tone of a text; and",,,
CCSS.L.11-12.5,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings.",11,TEKS,TEKS.ELAR.E4.8(D),(D) critique and evaluate how the author's use of language informs and shapes the perception of readers;,,,
CCSS.L.11-12.5,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings.",11,TEKS,TEKS.ELAR.E4.8(F),(F) evaluate how the author's diction and syntax contribute to the effectiveness of a text; and,,,
CCSS.L.11-12.5.A,"Interpret figures of speech (e.g., hyperbole, paradox) in context and analyze their role in the text.",11,BLOOM,BLOOM.4.3,"Determine a point of view, bias, values, or intent underlying presented material",Attributing,,
CCSS.L.11-12.5.A,"Interpret figures of speech (e.g., hyperbole, paradox) in context and analyze their role in the text.",11,BEST,BEST.ELA.11.R.3.1,Analyze the author’s use of figurative language and explain examples of allegory.,,Reading Across Genres,Interpreting Figurative Language
CCSS.L.11-12.5.A,"Interpret figures of speech (e.g., hyperbole, paradox) in context and analyze their role in the text.",11,BEST,BEST.ELA.12.R.3.1,Evaluate an author’s use of figurative language.,,Reading Across Genres,Interpreting Figurative Language
CCSS.L.11-12.5.A,"Interpret figures of speech (e.g., hyperbole, paradox) in context and analyze their role in the text.",11,TEKS,TEKS.ELAR.E3.8(E),"(E) evaluate the use of literary devices such as paradox, satire, and allegory to achieve specific purposes;",,,
CCSS.L.11-12.5.A,"Interpret figures of speech (e.g., hyperbole, paradox) in context and analyze their role in the text.",11,TEKS,TEKS.ELAR.E4.8(E),"(E) evaluate the use of literary devices such as paradox, satire, and allegory to achieve specific purposes;",,,
CCSS.L.11-12.5.B,Analyze nuances in the meaning of words with similar denotations.,11,BLOOM,BLOOM.2.1,"Changing from one form of representation to another (numerical to verbal, e.g.)",Interpreting,,
CCSS.L.11-12.5.B,Analyze nuances in the meaning of words with similar denotations.,11,BLOOM,BLOOM.5,Make judgments based on criteria and standards,Evaluate,,
CCSS.L.11-12.5.B,Analyze nuances in the meaning of words with similar denotations.,11,BEST,BEST.ELA.11.V.1.3,"Apply knowledge of context clues, figurative language, word relationships, reference materials, and/or background knowledge to determine the connotative and denotative meaning of words and phrases, appropriate to grade level.",,Vocabulary: Finding Meaning,Context and Connotation
CCSS.L.11-12.5.B,Analyze nuances in the meaning of words with similar denotations.,11,BEST,BEST.ELA.12.V.1.3,"Apply knowledge of context clues, figurative language, word relationships, reference materials, and/or background knowledge to determine the connotative and denotative meaning of words and phrases, appropriate to grade level.",,Vocabulary: Finding Meaning,Context and Connotation
CCSS.L.11-12.5.B,Analyze nuances in the meaning of words with similar denotations.,11,TEKS,TEKS.ELAR.E3.2(B),(B) analyze context to draw conclusions about nuanced meanings such as in imagery; and,,,
CCSS.L.11-12.5.B,Analyze nuances in the meaning of words with similar denotations.,11,TEKS,TEKS.ELAR.E3.8(D),(D) evaluate how the author's use of language informs and shapes the perception of readers;,,,
CCSS.L.11-12.5.B,Analyze nuances in the meaning of words with similar denotations.,11,TEKS,TEKS.ELAR.E4.2(B),(B) analyze context to draw conclusions about nuanced meanings such as in imagery; and,,,
CCSS.L.11-12.5.B,Analyze nuances in the meaning of words with similar denotations.,11,TEKS,TEKS.ELAR.E4.8(D),(D) critique and evaluate how the author's use of language informs and shapes the perception of readers;,,,
CCSS.L.11-12.6,"Acquire and use accurately general academic and domain-specific words and phrases, sufficient for reading, writing, speaking, and listening at the college and career readiness level; demonstrate independence in gathering vocabulary knowledge when considering a word or phrase important to comprehension or expression.",11,BLOOM,BLOOM.1.2,Retrieving relevant knowledge from long-term memory,Recalling,,
CCSS.L.11-12.6,"Acquire and use accurately general academic and domain-specific words and phrases, sufficient for reading, writing, speaking, and listening at the college and career readiness level; demonstrate independence in gathering vocabulary knowledge when considering a word or phrase important to comprehension or expression.",11,BEST,BEST.ELA.11.V.1.1,Integrate academic vocabulary appropriate to grade level in speaking and writing.,,Vocabulary: Finding Meaning,Academic Vocabulary
CCSS.L.11-12.6,"Acquire and use accurately general academic and domain-specific words and phrases, sufficient for reading, writing, speaking, and listening at the college and career readiness level; demonstrate independence in gathering vocabulary knowledge when considering a word or phrase important to comprehension or expression.",11,BEST,BEST.ELA.12.V.1.1,Integrate academic vocabulary appropriate to grade level in speaking and writing.,,Vocabulary: Finding Meaning,Academic Vocabulary
CCSS.L.11-12.6,"Acquire and use accurately general academic and domain-specific words and phrases, sufficient for reading, writing, speaking, and listening at the college and career readiness level; demonstrate independence in gathering vocabulary knowledge when considering a word or phrase important to comprehension or expression.",11,TEKS,TEKS.ELAR.E3.5(F),(F) respond using acquired content and academic vocabulary as appropriate;,,,
CCSS.L.11-12.6,"Acquire and use accurately general academic and domain-specific words and phrases, sufficient for reading, writing, speaking, and listening at the college and career readiness level; demonstrate independence in gathering vocabulary knowledge when considering a word or phrase important to comprehension or expression.",11,TEKS,TEKS.ELAR.E4.5(F),(F) respond using acquired content and academic vocabulary as appropriate;,,,
CCSS.L.3.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,3,BLOOM,BLOOM.1.2,Retrieving relevant knowledge from long-term memory,Recalling,,
CCSS.L.3.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,3,BEST,BEST.ELA.3.C.3.1,"Follow the rules of standard English grammar, punctuation, capitalization, and spelling appropriate to grade level.",,Grammar,Following Conventions
CCSS.L.3.1,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.,3,TEKS,TEKS.ELAR.3.11(D),"(D) edit drafts using standard English conventions, including:",,,
CCSS.L.3.1.A,"Explain the function of nouns, pronouns, verbs, adjectives, and adverbs in general and their functions in particular sentences.",3,TEKS,TEKS.ELAR.3.11(D)(i),(i) complete simple and compound sentences with subject-verb agreement;,,,
CCSS.L.3.1.A,"Explain the function of nouns, pronouns, verbs, adjectives, and adverbs in general and their functions in particular sentences.",3,TEKS,TEKS.ELAR.3.11(D)(ii),"(ii) past, present, and future verb tense ;",,,
CCSS.L.3.1.A,"Explain the function of nouns, pronouns, verbs, adjectives, and adverbs in general and their functions in particular sentences.",3,TEKS,TEKS.ELAR.3.11(D)(iii),"(iii) singular, plural, common, and proper nouns;",,,
CCSS.L.3.1.A,"Explain the function of nouns, pronouns, verbs, adjectives, and adverbs in general and their functions in particular sentences.",3,TEKS,TEKS.ELAR.3.11(D)(iv),"(iv) adjectives, including their comparative and superlative forms;",,,
CCSS.L.3.1.A,"Explain the function of nouns, pronouns, verbs, adjectives, and adverbs in general and their functions in particular sentences.",3,TEKS,TEKS.ELAR.3.11(D)(v),(v) adverbs that convey time and adverbs that convey manner;,,,
CCSS.L.3.1.A,"Explain the function of nouns, pronouns, verbs, adjectives, and adverbs in general and their functions in particular sentences.",3,TEKS,TEKS.ELAR.3.11(D)(vii),"(vii) pronouns, including subjective, objective, and possessive cases ;",,,
CCSS.L.3.1.B,Form and use regular and irregular plural nouns.,3,TEKS,TEKS.ELAR.3.11(D)(iii),"(iii) singular, plural, common, and proper nouns;",,,
CCSS.L.3.1.C,"Use abstract nouns (e.g., childhood).",3,TEKS,TEKS.ELAR.3.11(D)(iii),"(iii) singular, plural, common, and proper nouns;",,,
CCSS.L.3.1.D,Form and use regular and irregular verbs.,3,TEKS,TEKS.ELAR.3.11(D)(i),(i) complete simple and compound sentences with subject-verb agreement;,,,
CCSS.L.3.1.D,Form and use regular and irregular verbs.,3,TEKS,TEKS.ELAR.3.11(D)(ii),"(ii) past, present, and future verb tense ;",,,
CCSS.L.3.1.E,"Form and use the simple (e.g., I walked; I walk; I will walk) verb tenses.",3,TEKS,TEKS.ELAR.3.11(D)(ii),"(ii) past, present, and future verb tense ;",,,
CCSS.L.3.1.F,Ensure subject-verb and pronoun-antecedent agreement.*,3,TEKS,TEKS.ELAR.3.11(D)(i),(i) complete simple and compound sentences with subject-verb agreement;,,,
CCSS.L.3.1.G,"Form and use comparative and superlative adjectives and adverbs, and choose between them depending on what is to be modified.",3,TEKS,TEKS.ELAR.3.11(D)(iv),"(iv) adjectives, including their comparative and superlative forms;",,,
CCSS.L.3.1.G,"Form and use comparative and superlative adjectives and adverbs, and choose between them depending on what is to be modified.",3,TEKS,TEKS.ELAR.3.11(D)(v),(v) adverbs that convey time and adverbs that convey manner;,,,
CCSS.L.3.1.H,Use coordinating and subordinating conjunctions.,3,TEKS,TEKS.ELAR.3.11(D)(viii),"(viii) coordinating conjunctions to form compound subjects, predicates, and sentences;",,,
CCSS.L.3.1.I,"Produce simple, compound, and complex sentences.",3,TEKS,TEKS.ELAR.3.11(D)(i),(i) complete simple and compound sentences with subject-verb agreement;,,,
CCSS.L.3.2,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing.",3,TEKS,TEKS.ELAR.3.11(D),"(D) edit drafts using standard English conventions, including:",,,
CCSS.L.3.2.A,Capitalize appropriate words in titles.,3,TEKS,TEKS.ELAR.3.11(D)(ix),"(ix) capitalization of official titles of people, holidays, and geographical names and places;",,,
